"Date/Time","Date/Time","No.1","No.2","No.3","No.4"
"Date/Time","Date/Time","Air near apparatus","top pane topside","black bottom","apparatus bottom"
"","","°C","°C","°C","°C"
"2025-03-28 16:08:43","45744.6727199074","","","",""
"2025-03-28 16:08:44","45744.6727314815","23.7","25.2","25.0","25.0"
"2025-03-28 16:08:45","45744.6727430556","23.7","25.2","25.0","25.0"
"2025-03-28 16:08:46","45744.6727546296","24.1","25.2","25.0","25.0"
"2025-03-28 16:08:47","45744.6727662037","24.4","25.1","25.0","25.0"
"2025-03-28 16:08:48","45744.6727777778","24.5","25.2","25.0","25.0"
"2025-03-28 16:08:49","45744.6727893519","24.5","25.2","25.0","25.0"
"2025-03-28 16:08:50","45744.6728009259","24.6","25.2","25.1","25.0"
"2025-03-28 16:08:51","45744.6728125000","24.7","25.1","25.1","25.0"
"2025-03-28 16:08:52","45744.6728240741","24.8","25.2","25.1","25.0"
"2025-03-28 16:08:53","45744.6728356481","24.9","25.1","25.1","25.0"
"2025-03-28 16:08:54","45744.6728472222","24.9","25.2","25.1","25.0"
"2025-03-28 16:08:55","45744.6728587963","24.9","25.2","25.1","25.0"
"2025-03-28 16:08:56","45744.6728703704","25.0","25.2","25.1","25.0"
"2025-03-28 16:08:57","45744.6728819444","25.0","25.2","25.1","25.0"
"2025-03-28 16:08:58","45744.6728935185","25.1","25.2","25.1","25.0"
"2025-03-28 16:08:59","45744.6729050926","25.1","25.2","25.1","25.0"
"2025-03-28 16:09:00","45744.6729166667","25.2","25.3","25.1","25.0"
"2025-03-28 16:09:01","45744.6729282407","25.2","25.3","25.1","25.0"
"2025-03-28 16:09:02","45744.6729398148","25.2","25.3","25.1","25.0"
"2025-03-28 16:09:03","45744.6729513889","25.1","25.3","25.1","25.0"
"2025-03-28 16:09:04","45744.6729629630","25.2","25.3","25.1","25.0"
"2025-03-28 16:09:05","45744.6729745370","25.2","25.3","25.1","25.0"
"2025-03-28 16:09:06","45744.6729861111","25.2","25.3","25.1","25.0"
"2025-03-28 16:09:07","45744.6729976852","25.2","25.3","25.1","25.0"
"2025-03-28 16:09:08","45744.6730092593","25.1","25.3","25.1","25.0"
"2025-03-28 16:09:09","45744.6730208333","25.1","25.3","25.1","25.0"
"2025-03-28 16:09:10","45744.6730324074","25.1","25.3","25.1","25.0"
"2025-03-28 16:09:11","45744.6730439815","25.1","25.3","25.1","25.0"
"2025-03-28 16:09:12","45744.6730555556","25.1","25.3","25.1","25.0"
"2025-03-28 16:09:13","45744.6730671296","25.1","25.3","25.1","25.0"
"2025-03-28 16:09:14","45744.6730787037","25.0","25.3","25.1","25.0"
"2025-03-28 16:09:15","45744.6730902778","25.0","25.3","25.1","25.0"
"2025-03-28 16:09:16","45744.6731018519","25.0","25.3","25.1","25.0"
"2025-03-28 16:09:17","45744.6731134259","24.9","25.3","25.1","25.0"
"2025-03-28 16:09:18","45744.6731250000","24.9","25.3","25.1","25.0"
"2025-03-28 16:09:19","45744.6731365741","24.8","25.3","25.1","25.0"
"2025-03-28 16:09:20","45744.6731481481","24.8","25.3","25.1","25.0"
"2025-03-28 16:09:21","45744.6731597222","24.7","25.3","25.1","25.0"
"2025-03-28 16:09:22","45744.6731712963","24.7","25.3","25.1","25.0"
"2025-03-28 16:09:23","45744.6731828704","24.7","25.3","25.1","25.0"
"2025-03-28 16:09:24","45744.6731944444","24.8","25.3","25.1","25.0"
"2025-03-28 16:09:25","45744.6732060185","24.9","25.3","25.1","25.0"
"2025-03-28 16:09:26","45744.6732175926","25.0","25.3","25.1","25.0"
"2025-03-28 16:09:27","45744.6732291667","25.1","25.3","25.1","25.0"
"2025-03-28 16:09:28","45744.6732407407","25.1","25.3","25.1","25.0"
"2025-03-28 16:09:29","45744.6732523148","25.2","25.3","25.1","25.0"
"2025-03-28 16:09:30","45744.6732638889","25.2","25.3","25.0","25.0"
"2025-03-28 16:09:31","45744.6732754630","25.2","25.3","25.1","25.1"
"2025-03-28 16:09:32","45744.6732870370","25.2","25.3","25.1","25.0"
"2025-03-28 16:09:33","45744.6732986111","25.0","25.3","24.9","25.0"
"2025-03-28 16:09:34","45744.6733101852","25.0","25.3","25.1","25.1"
"2025-03-28 16:09:35","45744.6733217593","24.9","25.4","25.1","25.0"
"2025-03-28 16:09:36","45744.6733333333","25.0","25.4","25.0","25.1"
"2025-03-28 16:09:37","45744.6733449074","24.9","25.2","25.0","24.9"
"2025-03-28 16:09:38","45744.6733564815","25.0","25.3","25.1","25.0"
"2025-03-28 16:09:39","45744.6733680556","24.9","25.3","25.1","25.0"
"2025-03-28 16:09:40","45744.6733796296","25.0","25.4","25.1","25.0"
"2025-03-28 16:09:41","45744.6733912037","25.1","25.4","25.1","25.0"
"2025-03-28 16:09:42","45744.6734027778","25.2","25.4","25.1","25.0"
"2025-03-28 16:09:43","45744.6734143519","25.3","25.4","25.1","25.1"
"2025-03-28 16:09:44","45744.6734259259","25.3","25.4","25.1","25.1"
"2025-03-28 16:09:45","45744.6734375000","25.2","25.4","25.1","25.1"
"2025-03-28 16:09:46","45744.6734490741","25.2","25.4","25.1","25.1"
"2025-03-28 16:09:47","45744.6734606481","25.2","25.4","25.1","25.1"
"2025-03-28 16:09:48","45744.6734722222","25.3","25.4","25.1","25.1"
"2025-03-28 16:09:49","45744.6734837963","25.4","25.4","25.0",""
"2025-03-28 16:09:50","45744.6734953704","25.4","25.3","25.0","24.7"
"2025-03-28 16:09:51","45744.6735069444","25.3","25.4","25.1","25.1"
"2025-03-28 16:09:52","45744.6735185185","25.2","25.4","25.1","25.1"
"2025-03-28 16:09:53","45744.6735300926","25.2","25.4","25.1","25.1"
"2025-03-28 16:09:54","45744.6735416667","25.1","25.4","25.1","25.1"
"2025-03-28 16:09:55","45744.6735532407","25.2","25.4","25.1","25.1"
"2025-03-28 16:09:56","45744.6735648148","25.2","25.4","25.1","25.1"
"2025-03-28 16:09:57","45744.6735763889","25.3","25.4","25.1","25.1"
"2025-03-28 16:09:58","45744.6735879630","25.4","25.4","25.1","25.1"
"2025-03-28 16:09:59","45744.6735995370","25.4","25.4","25.1","25.1"
"2025-03-28 16:10:00","45744.6736111111","25.3","25.4","25.1","25.1"
"2025-03-28 16:10:01","45744.6736226852","25.2","25.4","25.1","25.1"
"2025-03-28 16:10:02","45744.6736342593","25.2","25.4","25.1","25.1"
"2025-03-28 16:10:03","45744.6736458333","25.1","25.4","25.1","25.1"
"2025-03-28 16:10:04","45744.6736574074","25.0","25.4","25.1","25.1"
"2025-03-28 16:10:05","45744.6736689815","25.0","25.4","25.1","25.0"
"2025-03-28 16:10:06","45744.6736805556","25.0","25.4","25.1","25.1"
"2025-03-28 16:10:07","45744.6736921296","24.9","25.4","25.1","25.1"
"2025-03-28 16:10:08","45744.6737037037","24.9","25.3","25.1","25.0"
"2025-03-28 16:10:09","45744.6737152778","25.1","25.4","25.1","25.1"
"2025-03-28 16:10:10","45744.6737268519","25.0","25.4","25.1","25.0"
"2025-03-28 16:10:11","45744.6737384259","24.9","25.3","25.1","25.1"
"2025-03-28 16:10:12","45744.6737500000","24.9","25.3","25.0","25.0"
"2025-03-28 16:10:13","45744.6737615741","24.8","25.3","25.1","25.1"
"2025-03-28 16:10:14","45744.6737731481","25.3","25.3","25.1","25.1"
"2025-03-28 16:10:15","45744.6737847222","25.4","25.2","25.0","25.0"
"2025-03-28 16:10:16","45744.6737962963","25.5","25.1","25.0","25.1"
"2025-03-28 16:10:17","45744.6738078704","25.6","25.2","25.1","25.4"
"2025-03-28 16:10:18","45744.6738194444","25.6","25.2","25.1","25.6"
"2025-03-28 16:10:19","45744.6738310185","25.8","25.3","25.1","25.5"
"2025-03-28 16:10:20","45744.6738425926","25.8","25.2","25.1","25.7"
"2025-03-28 16:10:21","45744.6738541667","25.8","25.2","25.1","25.7"
"2025-03-28 16:10:22","45744.6738657407","25.7","25.4","25.1","25.8"
"2025-03-28 16:10:23","45744.6738773148","25.7","25.3","25.1","25.7"
"2025-03-28 16:10:24","45744.6738888889","25.7","25.3","25.1","25.7"
"2025-03-28 16:10:25","45744.6739004630","25.6","25.3","25.1","25.7"
"2025-03-28 16:10:26","45744.6739120370","25.6","25.3","25.1","25.7"
"2025-03-28 16:10:27","45744.6739236111","25.5","25.3","25.1","25.6"
"2025-03-28 16:10:28","45744.6739351852","25.5","25.3","25.1","25.6"
"2025-03-28 16:10:29","45744.6739467593","25.4","25.3","25.1","25.5"
"2025-03-28 16:10:30","45744.6739583333","25.3","25.2","25.1","25.5"
"2025-03-28 16:10:31","45744.6739699074","25.3","25.4","25.1","25.6"
"2025-03-28 16:10:32","45744.6739814815","25.2","25.4","25.1","25.6"
"2025-03-28 16:10:33","45744.6739930556","25.2","25.4","25.1","25.6"
"2025-03-28 16:10:34","45744.6740046296","25.1","25.4","25.1","25.6"
"2025-03-28 16:10:35","45744.6740162037","25.1","25.4","25.1","25.5"
"2025-03-28 16:10:36","45744.6740277778","25.1","25.4","25.1","25.5"
"2025-03-28 16:10:37","45744.6740393518","25.1","25.4","25.1","25.5"
"2025-03-28 16:10:38","45744.6740509259","25.1","25.4","25.1","25.5"
"2025-03-28 16:10:39","45744.6740625000","25.0","25.4","25.1","25.5"
"2025-03-28 16:10:40","45744.6740740741","25.0","25.4","25.1","25.5"
"2025-03-28 16:10:41","45744.6740856481","25.0","25.4","25.1","25.5"
"2025-03-28 16:10:42","45744.6740972222","25.0","25.4","25.1","25.5"
"2025-03-28 16:10:43","45744.6741087963","25.0","25.4","25.1","25.5"
"2025-03-28 16:10:44","45744.6741203704","25.0","25.4","25.1","25.5"
"2025-03-28 16:10:45","45744.6741319444","25.0","25.4","25.1","25.4"
