"Date/Time","Date/Time","No.1","No.2","No.3","No.4"
"Date/Time","Date/Time","Air near apparatus","top pane topside","black bottom","apparatus bottom"
"","","?C","?C","?C","?C"
"2025-03-29 10:07:55","45745.4221643519","","","",""
"2025-03-29 10:07:56","45745.4221759259","24.1","24.4","24.0","24.0"
"2025-03-29 10:07:57","45745.4221875000","24.1","24.4","24.0","24.0"
"2025-03-29 10:07:58","45745.4221990741","24.1","24.4","24.0","24.0"
"2025-03-29 10:07:59","45745.4222106481","24.1","24.4","24.0","24.0"
"2025-03-29 10:08:00","45745.4222222222","24.1","24.4","24.0","24.0"
"2025-03-29 10:08:01","45745.4222337963","24.1","24.4","24.0","24.0"
"2025-03-29 10:08:02","45745.4222453704","24.1","24.4","24.0","24.0"
"2025-03-29 10:08:03","45745.4222569444","24.1","24.4","24.0","24.0"
"2025-03-29 10:08:04","45745.4222685185","24.1","24.4","24.0","24.0"
"2025-03-29 10:08:05","45745.4222800926","24.1","24.4","24.0","24.0"
"2025-03-29 10:08:06","45745.4222916667","24.1","24.4","24.0","24.0"
"2025-03-29 10:08:07","45745.4223032407","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:08","45745.4223148148","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:09","45745.4223263889","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:10","45745.4223379630","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:11","45745.4223495370","24.2","24.4","24.1","24.0"
"2025-03-29 10:08:12","45745.4223611111","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:13","45745.4223726852","24.2","24.4","24.1","24.0"
"2025-03-29 10:08:14","45745.4223842593","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:15","45745.4223958333","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:16","45745.4224074074","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:17","45745.4224189815","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:18","45745.4224305556","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:19","45745.4224421296","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:20","45745.4224537037","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:21","45745.4224652778","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:22","45745.4224768519","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:23","45745.4224884259","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:24","45745.4225000000","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:25","45745.4225115741","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:26","45745.4225231481","24.2","24.4","24.0","24.0"
"2025-03-29 10:08:27","45745.4225347222","24.3","24.4","24.0","24.0"
"2025-03-29 10:08:28","45745.4225462963","24.5","24.4","24.0","24.0"
"2025-03-29 10:08:29","45745.4225578704","24.7","24.4","24.0","24.0"
"2025-03-29 10:08:30","45745.4225694444","24.8","24.4","24.0","24.0"
"2025-03-29 10:08:31","45745.4225810185","24.9","24.4","24.0","24.0"
"2025-03-29 10:08:32","45745.4225925926","25.0","24.4","24.0","24.0"
"2025-03-29 10:08:33","45745.4226041667","25.2","24.4","24.0","24.1"
"2025-03-29 10:08:34","45745.4226157407","26.2","24.4","24.0","24.0"
"2025-03-29 10:08:35","45745.4226273148","26.1","24.5","24.0","24.1"
"2025-03-29 10:08:36","45745.4226388889","26.4","24.5","24.0","24.1"
"2025-03-29 10:08:37","45745.4226504630","27.0","24.5","24.0","24.1"
"2025-03-29 10:08:38","45745.4226620370","27.2","24.6","24.0","24.1"
"2025-03-29 10:08:39","45745.4226736111","27.1","24.6","24.0","24.1"
"2025-03-29 10:08:40","45745.4226851852","27.2","24.7","24.0","24.1"
"2025-03-29 10:08:41","45745.4226967593","27.5","24.7","24.0","24.1"
"2025-03-29 10:08:42","45745.4227083333","26.9","24.8","24.1","24.1"
"2025-03-29 10:08:43","45745.4227199074","26.7","24.9","24.0","24.1"
"2025-03-29 10:08:44","45745.4227314815","26.7","24.9","24.0","24.1"
"2025-03-29 10:08:45","45745.4227430556","26.7","25.0","24.0","24.1"
"2025-03-29 10:08:46","45745.4227546296","26.4","25.0","24.1","24.1"
"2025-03-29 10:08:47","45745.4227662037","26.1","25.0","24.0","24.1"
"2025-03-29 10:08:48","45745.4227777778","25.9","25.0","24.1","24.1"
"2025-03-29 10:08:49","45745.4227893519","25.7","25.0","24.0","24.1"
"2025-03-29 10:08:50","45745.4228009259","25.5","25.0","24.1","24.1"
"2025-03-29 10:08:51","45745.4228125000","25.4","25.0","24.1","24.1"
"2025-03-29 10:08:52","45745.4228240741","25.3","25.0","24.1","24.1"
"2025-03-29 10:08:53","45745.4228356481","25.1","24.9","24.1","24.1"
"2025-03-29 10:08:54","45745.4228472222","25.0","24.9","24.1","24.1"
"2025-03-29 10:08:55","45745.4228587963","25.0","24.9","24.1","24.1"
"2025-03-29 10:08:56","45745.4228703704","24.9","24.9","24.1","24.1"
"2025-03-29 10:08:57","45745.4228819444","25.1","24.9","24.0","24.1"
"2025-03-29 10:08:58","45745.4228935185","25.1","24.9","24.0","24.1"
"2025-03-29 10:08:59","45745.4229050926","25.1","24.9","24.0","24.1"
"2025-03-29 10:09:00","45745.4229166667","25.0","24.9","24.0","24.1"
"2025-03-29 10:09:01","45745.4229282407","25.1","24.9","24.1","24.2"
"2025-03-29 10:09:02","45745.4229398148","25.1","24.9","24.1","24.2"
"2025-03-29 10:09:03","45745.4229513889","25.0","24.9","24.0","24.2"
"2025-03-29 10:09:04","45745.4229629630","24.9","25.0","24.1","24.2"
"2025-03-29 10:09:05","45745.4229745370","24.9","25.0","24.1","24.2"
"2025-03-29 10:09:06","45745.4229861111","24.8","25.1","24.1","24.2"
"2025-03-29 10:09:07","45745.4229976852","24.8","25.0","24.0","24.2"
"2025-03-29 10:09:08","45745.4230092593","24.8","25.0","24.0","24.2"
"2025-03-29 10:09:09","45745.4230208333","24.9","25.1","24.1","24.2"
"2025-03-29 10:09:10","45745.4230324074","24.9","25.1","24.2","24.2"
"2025-03-29 10:09:11","45745.4230439815","25.0","25.1","24.3","24.2"
"2025-03-29 10:09:12","45745.4230555556","25.0","25.1","24.4","24.2"
"2025-03-29 10:09:13","45745.4230671296","25.0","25.1","24.4","24.2"
"2025-03-29 10:09:14","45745.4230787037","25.0","25.1","24.4","24.2"
"2025-03-29 10:09:15","45745.4230902778","25.3","25.1","24.4","24.2"
"2025-03-29 10:09:16","45745.4231018519","25.3","25.2","24.4","24.2"
"2025-03-29 10:09:17","45745.4231134259","25.1","25.2","24.4","24.2"
"2025-03-29 10:09:18","45745.4231250000","25.1","25.2","24.4","24.2"
"2025-03-29 10:09:19","45745.4231365741","25.1","25.2","24.4","24.2"
"2025-03-29 10:09:20","45745.4231481481","25.1","25.2","24.4","24.2"
"2025-03-29 10:09:21","45745.4231597222","25.1","25.2","24.3","24.2"
"2025-03-29 10:09:22","45745.4231712963","24.9","25.2","24.3","24.2"
"2025-03-29 10:09:23","45745.4231828704","25.0","25.2","24.3","24.2"
"2025-03-29 10:09:24","45745.4231944444","25.0","25.2","24.4","24.2"
"2025-03-29 10:09:25","45745.4232060185","25.1","25.2","24.4","24.2"
"2025-03-29 10:09:26","45745.4232175926","25.2","25.2","24.3","24.2"
"2025-03-29 10:09:27","45745.4232291667","25.2","25.2","24.4","24.2"
"2025-03-29 10:09:28","45745.4232407407","25.2","25.2","24.3","24.3"
"2025-03-29 10:09:29","45745.4232523148","25.1","25.2","24.3","24.3"
"2025-03-29 10:09:30","45745.4232638889","25.0","25.2","24.3","24.3"
"2025-03-29 10:09:31","45745.4232754630","25.0","25.2","24.3","24.3"
"2025-03-29 10:09:32","45745.4232870370","24.9","25.2","24.3","24.3"
"2025-03-29 10:09:33","45745.4232986111","24.9","25.2","24.3","24.3"
"2025-03-29 10:09:34","45745.4233101852","25.4","25.2","24.3","24.2"
"2025-03-29 10:09:35","45745.4233217593","25.6","25.2","24.3","24.3"
"2025-03-29 10:09:36","45745.4233333333","25.4","25.3","24.3","24.3"
"2025-03-29 10:09:37","45745.4233449074","25.2","25.2","24.3","24.3"
"2025-03-29 10:09:38","45745.4233564815","25.2","25.2","24.3","24.2"
"2025-03-29 10:09:39","45745.4233680556","25.3","25.2","24.3","24.3"
"2025-03-29 10:09:40","45745.4233796296","25.4","25.2","24.3","24.2"
"2025-03-29 10:09:41","45745.4233912037","25.3","25.2","24.3","24.2"
"2025-03-29 10:09:42","45745.4234027778","25.3","25.2","24.3","24.2"
"2025-03-29 10:09:43","45745.4234143519","25.3","25.2","24.3","24.2"
"2025-03-29 10:09:44","45745.4234259259","25.4","25.2","24.3","24.2"
"2025-03-29 10:09:45","45745.4234375000","25.4","25.2","24.3","24.2"
"2025-03-29 10:09:46","45745.4234490741","25.5","25.2","24.3","24.2"
"2025-03-29 10:09:47","45745.4234606481","25.6","25.2","24.3","24.2"
"2025-03-29 10:09:48","45745.4234722222","25.7","25.2","24.2","24.2"
"2025-03-29 10:09:49","45745.4234837963","25.9","25.2","24.3","24.2"
"2025-03-29 10:09:50","45745.4234953704","26.2","25.2","24.3","24.5"
"2025-03-29 10:09:51","45745.4235069444","26.4","25.2","24.2","25.3"
"2025-03-29 10:09:52","45745.4235185185","26.4","25.2","24.3","25.5"
"2025-03-29 10:09:53","45745.4235300926","26.4","25.2","24.2","25.3"
"2025-03-29 10:09:54","45745.4235416667","26.6","25.3","24.3","25.1"
"2025-03-29 10:09:55","45745.4235532407","26.8","25.3","24.3","25.0"
"2025-03-29 10:09:56","45745.4235648148","27.0","25.3","24.2","25.0"
"2025-03-29 10:09:57","45745.4235763889","27.1","25.4","24.2","24.9"
