"Date/Time","Date/Time","No.1","No.2","No.3","No.4"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST"
"","","°C","°C","°C","°C"
"2025-03-29 20:04:39","45745.8365625000","","","",""
"2025-03-29 20:04:40","45745.8365740741","24.7","25.7","25.5","25.4"
"2025-03-29 20:04:41","45745.8365856481","24.7","25.7","25.5","25.4"
"2025-03-29 20:04:42","45745.8365972222","24.7","25.7","25.5","25.4"
"2025-03-29 20:04:43","45745.8366087963","24.7","25.7","25.5","25.4"
"2025-03-29 20:04:44","45745.8366203704","24.7","25.7","25.5","25.4"
"2025-03-29 20:04:45","45745.8366319444","24.7","25.7","25.5","25.4"
"2025-03-29 20:04:46","45745.8366435185","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:47","45745.8366550926","24.7","25.6","25.5","25.4"
"2025-03-29 20:04:48","45745.8366666667","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:49","45745.8366782407","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:50","45745.8366898148","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:51","45745.8367013889","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:52","45745.8367129630","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:53","45745.8367245370","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:54","45745.8367361111","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:55","45745.8367476852","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:56","45745.8367592593","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:57","45745.8367708333","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:58","45745.8367824074","24.7","25.6","25.5","25.3"
"2025-03-29 20:04:59","45745.8367939815","24.7","25.6","25.5","25.3"
"2025-03-29 20:05:00","45745.8368055556","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:01","45745.8368171296","24.7","25.6","25.5","25.3"
"2025-03-29 20:05:02","45745.8368287037","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:03","45745.8368402778","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:04","45745.8368518519","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:05","45745.8368634259","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:06","45745.8368750000","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:07","45745.8368865741","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:08","45745.8368981481","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:09","45745.8369097222","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:10","45745.8369212963","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:11","45745.8369328704","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:12","45745.8369444444","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:13","45745.8369560185","24.6","25.5","25.5","25.3"
"2025-03-29 20:05:14","45745.8369675926","24.7","25.5","25.5","25.3"
"2025-03-29 20:05:15","45745.8369791667","25.1","25.5","25.5","25.3"
"2025-03-29 20:05:16","45745.8369907407","25.2","25.5","25.5","25.4"
"2025-03-29 20:05:17","45745.8370023148","25.2","25.6","25.5","25.5"
"2025-03-29 20:05:18","45745.8370138889","25.3","25.6","25.5","25.5"
"2025-03-29 20:05:19","45745.8370254630","25.2","25.6","25.5","25.5"
"2025-03-29 20:05:20","45745.8370370370","25.2","25.6","25.5","25.5"
