"Date/Time","Date/Time","No.1","No.2","No.3","No.4"
"Date/Time","Date/Time","SUCTION 2ND","DISCHARGE 2ND","SUCTION 1ST","DISCHARGE 1ST"
"","","°C","°C","°C","°C"
"2025-03-30 11:20:08","45746.4723148148","","","",""
"2025-03-30 11:20:09","45746.4723263889","25.0","25.9","25.1","25.0"
"2025-03-30 11:20:10","45746.4723379630","25.0","25.9","25.1","25.0"
"2025-03-30 11:20:11","45746.4723495370","25.0","25.9","25.1","25.0"
"2025-03-30 11:20:12","45746.4723611111","25.1","25.8","25.1","25.0"
"2025-03-30 11:20:13","45746.4723726852","25.0","25.8","25.0","25.0"
"2025-03-30 11:20:14","45746.4723842593","24.9","25.8","25.1","25.0"
"2025-03-30 11:20:15","45746.4723958333","24.8","25.9","25.1","25.0"
"2025-03-30 11:20:16","45746.4724074074","24.7","25.8","25.1","25.0"
"2025-03-30 11:20:17","45746.4724189815","24.7","25.8","25.1","25.0"
"2025-03-30 11:20:18","45746.4724305556","24.7","25.8","25.1","25.0"
"2025-03-30 11:20:19","45746.4724421296","24.7","25.7","25.0","25.0"
"2025-03-30 11:20:20","45746.4724537037","24.8","25.8","25.1","25.0"
"2025-03-30 11:20:21","45746.4724652778","24.7","25.8","25.1","25.0"
"2025-03-30 11:20:22","45746.4724768518","24.7","25.8","25.1","25.1"
"2025-03-30 11:20:23","45746.4724884259","24.6","25.8","25.1","25.0"
"2025-03-30 11:20:24","45746.4725000000","24.6","25.8","25.1","25.0"
"2025-03-30 11:20:25","45746.4725115741","24.6","25.8","25.1","24.9"
"2025-03-30 11:20:26","45746.4725231481","24.6","25.8","25.1","24.9"
"2025-03-30 11:20:27","45746.4725347222","24.7","25.9","25.2","25.0"
"2025-03-30 11:20:28","45746.4725462963","24.7","25.9","25.2","25.0"
"2025-03-30 11:20:29","45746.4725578704","24.7","25.9","25.2","25.0"
"2025-03-30 11:20:30","45746.4725694444","24.6","25.9","25.2","25.0"
"2025-03-30 11:20:31","45746.4725810185","24.5","25.9","25.2","25.0"
"2025-03-30 11:20:32","45746.4725925926","24.6","25.9","25.2","25.0"
"2025-03-30 11:20:33","45746.4726041667","24.6","25.9","25.2","25.0"
"2025-03-30 11:20:34","45746.4726157407","24.6","25.9","25.1","25.0"
"2025-03-30 11:20:35","45746.4726273148","24.6","25.9","25.1","25.0"
"2025-03-30 11:20:36","45746.4726388889","24.5","25.9","25.1","24.9"
"2025-03-30 11:20:37","45746.4726504630","24.5","25.9","25.1","24.9"
"2025-03-30 11:20:38","45746.4726620370","24.5","25.9","25.1","24.9"
"2025-03-30 11:20:39","45746.4726736111","24.5","25.9","25.1","24.9"
"2025-03-30 11:20:40","45746.4726851852","24.5","25.9","25.1","24.9"
"2025-03-30 11:20:41","45746.4726967593","24.6","25.9","25.1","24.9"
"2025-03-30 11:20:42","45746.4727083333","24.6","25.9","25.1","24.9"
"2025-03-30 11:20:43","45746.4727199074","24.6","25.9","25.1","24.9"
"2025-03-30 11:20:44","45746.4727314815","24.6","25.9","25.1","24.9"
"2025-03-30 11:20:45","45746.4727430556","24.6","25.9","25.1","24.8"
"2025-03-30 11:20:46","45746.4727546296","24.6","25.9","25.1","24.8"
"2025-03-30 11:20:47","45746.4727662037","24.6","25.9","25.1","24.8"
"2025-03-30 11:20:48","45746.4727777778","24.6","25.9","25.1","24.8"
"2025-03-30 11:20:49","45746.4727893519","24.6","25.9","25.1","24.8"
