time,adjustment_type
11:18,boro
11:18,movetosun
11:20,adjust
11:35,adjust
11:50,adjust
12:05,adjust
12:12,adjust
12:20,adjust
12:36,adjust
12:41,caf2
12:41,adjust
12:50,adjust
1:06,adjust
1:21,adjust
1:25,adjust
1:31,adjust
1:44,adjust
1:52,adjust
2:36,adjust
2:45,adjust
2:50,adjust
2:54,boro
2:54,adjust
3:04,adjust
3:17,caf2
3:18,adjust
3:23,adjust
3:31,adjust
3:39,adjust
3:46,adjust
3:53,adjust
3:54,adjust
3:55,adjust
4:03,adjust
4:11,adjust
4:15,adjust
4:23,boro
4:24,adjust
4:29,adjust
4:36,adjust
4:47,adjust
4:59,adjust
5:09,adjust
5:19,adjust
