"Date/Time","Date/Time","No.1","No.2","No.3","No.4"
"Date/Time","Date/Time","outside air","bottom of pane","inside black bottom","apparatus bottom"
"","","°C","°C","°C","°C"
"2025-04-26 09:55:22","45773.4134490741","","","",""
"2025-04-26 09:55:23","45773.4134606481","18.3","29.5","31.7","28.5"
"2025-04-26 09:55:24","45773.4134722222","18.3","29.4","31.6","28.5"
"2025-04-26 09:55:25","45773.4134837963","18.3","29.2","31.5","28.5"
"2025-04-26 09:55:26","45773.4134953704","18.3","29.1","31.4","28.5"
"2025-04-26 09:55:27","45773.4135069444","18.4","29.0","31.3","28.5"
"2025-04-26 09:55:28","45773.4135185185","18.4","28.9","31.2","28.5"
"2025-04-26 09:55:29","45773.4135300926","18.3","28.8","31.1","28.5"
"2025-04-26 09:55:30","45773.4135416667","18.2","28.7","31.0","28.5"
"2025-04-26 09:55:31","45773.4135532407","18.2","28.6","31.0","28.5"
"2025-04-26 09:55:32","45773.4135648148","18.2","28.5","30.9","28.5"
"2025-04-26 09:55:33","45773.4135763889","18.2","28.5","30.8","28.5"
"2025-04-26 09:55:34","45773.4135879630","18.1","28.4","30.8","28.5"
"2025-04-26 09:55:35","45773.4135995370","18.1","28.3","30.7","28.5"
"2025-04-26 09:55:36","45773.4136111111","18.0","28.2","30.6","28.5"
"2025-04-26 09:55:37","45773.4136226852","17.9","28.2","30.5","28.5"
"2025-04-26 09:55:38","45773.4136342593","17.9","28.1","30.5","28.5"
"2025-04-26 09:55:39","45773.4136458333","17.8","28.0","30.4","28.5"
"2025-04-26 09:55:40","45773.4136574074","17.8","28.0","30.4","28.5"
"2025-04-26 09:55:41","45773.4136689815","17.8","27.9","30.3","28.5"
"2025-04-26 09:55:42","45773.4136805556","17.8","27.9","30.2","28.5"
"2025-04-26 09:55:43","45773.4136921296","17.8","27.8","30.2","28.5"
"2025-04-26 09:55:44","45773.4137037037","17.7","27.8","30.1","28.5"
"2025-04-26 09:55:45","45773.4137152778","17.7","27.7","30.1","28.5"
"2025-04-26 09:55:46","45773.4137268519","17.8","27.7","30.0","28.5"
"2025-04-26 09:55:47","45773.4137384259","17.8","27.6","30.0","28.5"
"2025-04-26 09:55:48","45773.4137500000","17.8","27.6","29.9","28.4"
"2025-04-26 09:55:49","45773.4137615741","17.9","27.5","29.9","28.4"
"2025-04-26 09:55:50","45773.4137731481","17.9","27.5","29.8","28.4"
"2025-04-26 09:55:51","45773.4137847222","17.9","27.5","29.8","28.4"
"2025-04-26 09:55:52","45773.4137962963","17.9","27.4","29.7","28.4"
"2025-04-26 09:55:53","45773.4138078704","17.7","27.4","29.7","28.4"
"2025-04-26 09:55:54","45773.4138194444","17.7","27.3","29.6","28.4"
"2025-04-26 09:55:55","45773.4138310185","17.7","27.3","29.6","28.4"
"2025-04-26 09:55:56","45773.4138425926","17.7","27.3","29.5","28.4"
"2025-04-26 09:55:57","45773.4138541667","17.7","27.2","29.5","28.4"
"2025-04-26 09:55:58","45773.4138657407","17.7","27.2","29.5","28.4"
"2025-04-26 09:55:59","45773.4138773148","17.7","27.2","29.4","28.4"
"2025-04-26 09:56:00","45773.4138888889","17.7","27.1","29.4","28.4"
"2025-04-26 09:56:01","45773.4139004630","17.7","27.1","29.3","28.4"
"2025-04-26 09:56:02","45773.4139120370","17.8","27.1","29.3","28.4"
"2025-04-26 09:56:03","45773.4139236111","17.8","27.1","29.2","28.4"
"2025-04-26 09:56:04","45773.4139351852","17.8","27.0","29.2","28.3"
"2025-04-26 09:56:05","45773.4139467593","17.9","27.0","29.2","28.3"
"2025-04-26 09:56:06","45773.4139583333","17.9","27.0","29.1","28.3"
"2025-04-26 09:56:07","45773.4139699074","17.9","27.0","29.1","28.3"
"2025-04-26 09:56:08","45773.4139814815","17.9","26.9","29.1","28.3"
"2025-04-26 09:56:09","45773.4139930556","17.9","26.9","29.0","28.3"
"2025-04-26 09:56:10","45773.4140046296","17.9","26.9","29.0","28.3"
"2025-04-26 09:56:11","45773.4140162037","17.9","26.8","29.0","28.3"
"2025-04-26 09:56:12","45773.4140277778","17.9","26.8","28.9","28.3"
"2025-04-26 09:56:13","45773.4140393519","17.9","26.8","28.9","28.3"
"2025-04-26 09:56:14","45773.4140509259","17.9","26.8","28.9","28.3"
"2025-04-26 09:56:15","45773.4140625000","17.9","26.7","28.8","28.3"
"2025-04-26 09:56:16","45773.4140740741","17.9","26.7","28.8","28.2"
"2025-04-26 09:56:17","45773.4140856481","17.9","26.7","28.8","28.2"
"2025-04-26 09:56:18","45773.4140972222","17.9","26.7","28.7","28.2"
"2025-04-26 09:56:19","45773.4141087963","17.8","26.5","28.6","28.1"
"2025-04-26 09:56:20","45773.4141203704","17.7","26.5","28.6","28.1"
"2025-04-26 09:56:21","45773.4141319444","17.7","26.5","28.5","28.1"
