"Date/Time","Date/Time","No.1","No.2","No.3","No.4"
"Date/Time","Date/Time","botglass top","botglass bot","blackbottom","underside"
"","","°C","°C","°C","°C"
"2024-10-17 12:19:55","45582.5138310185","","","",""
"2024-10-17 12:19:56","45582.5138425926","24.0","24.1","24.1","24.3"
"2024-10-17 12:19:57","45582.5138541667","24.0","24.1","24.1","24.2"
"2024-10-17 12:19:58","45582.5138657407","24.0","24.1","24.1","24.3"
"2024-10-17 12:19:59","45582.5138773148","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:00","45582.5138888889","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:01","45582.5139004630","24.1","24.1","24.1","24.2"
"2024-10-17 12:20:02","45582.5139120370","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:03","45582.5139236111","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:04","45582.5139351852","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:05","45582.5139467593","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:06","45582.5139583333","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:07","45582.5139699074","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:08","45582.5139814815","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:09","45582.5139930556","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:10","45582.5140046296","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:11","45582.5140162037","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:12","45582.5140277778","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:13","45582.5140393519","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:14","45582.5140509259","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:15","45582.5140625000","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:16","45582.5140740741","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:17","45582.5140856481","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:18","45582.5140972222","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:19","45582.5141087963","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:20","45582.5141203704","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:21","45582.5141319444","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:22","45582.5141435185","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:23","45582.5141550926","24.0","24.1","24.1","24.2"
"2024-10-17 12:20:24","45582.5141666667","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:25","45582.5141782407","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:26","45582.5141898148","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:27","45582.5142013889","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:28","45582.5142129630","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:29","45582.5142245370","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:30","45582.5142361111","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:31","45582.5142476852","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:32","45582.5142592593","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:33","45582.5142708333","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:34","45582.5142824074","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:35","45582.5142939815","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:36","45582.5143055556","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:37","45582.5143171296","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:38","45582.5143287037","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:39","45582.5143402778","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:40","45582.5143518519","24.1","24.2","24.2","24.3"
"2024-10-17 12:20:41","45582.5143634259","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:42","45582.5143750000","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:43","45582.5143865741","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:44","45582.5143981481","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:45","45582.5144097222","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:46","45582.5144212963","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:47","45582.5144328704","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:48","45582.5144444444","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:49","45582.5144560185","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:50","45582.5144675926","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:51","45582.5144791667","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:52","45582.5144907407","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:53","45582.5145023148","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:54","45582.5145138889","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:55","45582.5145254630","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:56","45582.5145370370","24.1","24.2","24.1","24.2"
"2024-10-17 12:20:57","45582.5145486111","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:58","45582.5145601852","24.1","24.2","24.2","24.2"
"2024-10-17 12:20:59","45582.5145717593","24.1","24.2","24.2","24.2"
"2024-10-17 12:21:00","45582.5145833333","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:01","45582.5145949074","24.1","24.2","24.2","24.2"
"2024-10-17 12:21:02","45582.5146064815","24.1","24.2","24.2","24.2"
"2024-10-17 12:21:03","45582.5146180556","24.1","24.2","24.2","24.2"
"2024-10-17 12:21:04","45582.5146296296","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:05","45582.5146412037","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:06","45582.5146527778","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:07","45582.5146643519","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:08","45582.5146759259","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:09","45582.5146875000","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:10","45582.5146990741","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:11","45582.5147106481","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:12","45582.5147222222","24.1","24.2","24.2","24.2"
"2024-10-17 12:21:13","45582.5147337963","24.1","24.2","24.2","24.2"
"2024-10-17 12:21:14","45582.5147453704","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:15","45582.5147569444","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:16","45582.5147685185","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:17","45582.5147800926","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:18","45582.5147916667","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:19","45582.5148032407","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:20","45582.5148148148","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:21","45582.5148263889","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:22","45582.5148379630","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:23","45582.5148495370","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:24","45582.5148611111","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:25","45582.5148726852","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:26","45582.5148842593","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:27","45582.5148958333","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:28","45582.5149074074","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:29","45582.5149189815","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:30","45582.5149305556","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:31","45582.5149421296","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:32","45582.5149537037","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:33","45582.5149652778","24.1","24.1","24.1","24.2"
"2024-10-17 12:21:34","45582.5149768519","24.1","24.1","24.1","24.2"
"2024-10-17 12:21:35","45582.5149884259","24.1","24.1","24.1","24.2"
"2024-10-17 12:21:36","45582.5150000000","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:37","45582.5150115741","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:38","45582.5150231481","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:39","45582.5150347222","24.1","24.1","24.1","24.2"
"2024-10-17 12:21:40","45582.5150462963","24.1","24.1","24.1","24.2"
"2024-10-17 12:21:41","45582.5150578704","24.1","24.2","24.1","24.2"
"2024-10-17 12:21:42","45582.5150694444","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:43","45582.5150810185","24.1","24.1","24.1","24.2"
"2024-10-17 12:21:44","45582.5150925926","24.1","24.1","24.1","24.2"
"2024-10-17 12:21:45","45582.5151041667","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:46","45582.5151157407","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:47","45582.5151273148","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:48","45582.5151388889","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:49","45582.5151504630","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:50","45582.5151620370","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:51","45582.5151736111","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:52","45582.5151851852","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:53","45582.5151967593","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:54","45582.5152083333","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:55","45582.5152199074","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:56","45582.5152314815","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:57","45582.5152430556","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:58","45582.5152546296","24.1","24.1","24.1","24.1"
"2024-10-17 12:21:59","45582.5152662037","24.1","24.1","24.1","24.1"
"2024-10-17 12:22:00","45582.5152777778","24.1","24.1","24.1","24.1"
"2024-10-17 12:22:01","45582.5152893519","24.1","24.1","24.1","24.1"
"2024-10-17 12:22:02","45582.5153009259","24.1","24.1","24.1","24.1"
"2024-10-17 12:22:03","45582.5153125000","24.1","24.1","24.1","24.1"
"2024-10-17 12:22:04","45582.5153240741","24.1","24.1","24.1","24.1"
"2024-10-17 12:22:05","45582.5153356481","24.1","24.1","24.1","24.1"
