"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5"
"Date/Time","Date/Time","above last glass","under first glass","black bottom","underside bottom","solar ins"
"","","°C","°C","°C","°C","W/m^2"
"2024-09-13 11:30:49","45548.4797337963","","","","",""
"2024-09-13 11:30:50","45548.4797453704","28.5","27.0","27.3","28.2","672.225"
"2024-09-13 11:30:51","45548.4797569444","28.6","27.1","27.4","28.3","668.617"
"2024-09-13 11:30:52","45548.4797685185","28.6","27.0","27.4","28.3","669.098"
"2024-09-13 11:30:53","45548.4797800926","28.6","27.0","27.4","28.3","673.187"
"2024-09-13 11:30:54","45548.4797916667","28.6","27.0","27.4","28.2","674.630"
"2024-09-13 11:30:55","45548.4798032407","28.7","27.1","27.4","28.3","736.441"
"2024-09-13 11:30:56","45548.4798148148","28.7","27.1","27.4","28.3","807.392"
"2024-09-13 11:30:57","45548.4798263889","28.7","27.1","27.4","28.3","801.138"
"2024-09-13 11:30:58","45548.4798379630","28.7","27.1","27.4","28.2","843.468"
"2024-09-13 11:30:59","45548.4798495370","28.7","27.0","27.4","28.2","847.316"
"2024-09-13 11:31:00","45548.4798611111","28.8","27.1","27.5","28.3","859.342"
"2024-09-13 11:31:01","45548.4798726852","28.8","27.1","27.5","28.3","861.266"
"2024-09-13 11:31:02","45548.4798842593","28.8","27.1","27.5","28.3","846.835"
"2024-09-13 11:31:03","45548.4798958333","28.8","27.1","27.5","28.2","853.570"
"2024-09-13 11:31:04","45548.4799074074","28.9","27.1","27.5","28.2","849.481"
"2024-09-13 11:31:05","45548.4799189815","29.0","27.2","27.6","28.3","852.367"
"2024-09-13 11:31:06","45548.4799305556","29.0","27.2","27.6","28.3","855.253"
"2024-09-13 11:31:07","45548.4799421296","29.0","27.1","27.5","28.3","901.672"
"2024-09-13 11:31:08","45548.4799537037","29.1","27.1","27.5","28.2","912.013"
"2024-09-13 11:31:09","45548.4799652778","29.1","27.1","27.5","28.2","917.305"
"2024-09-13 11:31:10","45548.4799768518","29.2","27.2","27.6","28.3","918.748"
